description,Price,Rate,Count_reviews,URL,Image
"Lapsouno Travel Laptop Backpack, Multiple Pockets 17.3 Inch Carry on Backpack with USB Port, TSA Friendly Water Resistant Business Travel Bag for Women,School College Student Backpack for Women,Purple",$39.98,4.7 out of 5 stars,431,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A084657457YF3GNDQFXV&url=%2FLapsouno-Backpack-Multiple-Resistant-Business%2Fdp%2FB09HXQ4D1T%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-1-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_atf,https://m.media-amazon.com/images/I/81qDVuPBpJL._AC_UY218_.jpg
ZOEO Blue Baseball Bookbags Chic 3th 4th 5th Grade School Backpacks Travel Laptop Daypack Bag Purse for Girls Boys Teens,$33.99,4.6 out of 5 stars,476,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07221031LDPOO2T9KZGR&url=%2FZOEO-Baseball-Bookbags-Backpacks-Daypack%2Fdp%2FB07NVNKXL7%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-2-spons%26psc%3D1%26smid%3DA1CDNN25GODXEZ&qualifier=1657428121&id=3119944209656656&widgetName=sp_atf,https://m.media-amazon.com/images/I/71LNvZifz1L._AC_UY218_.jpg
"Matein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",$29.99,4.8 out of 5 stars,"64,933",https://www.amazon.com//Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/ref=sr_1_3?keywords=school+bag&qid=1657428121&sr=8-3,https://m.media-amazon.com/images/I/81p91cnIFEL._AC_UY218_.jpg
"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant College School Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook - Black",$31.99,4.7 out of 5 stars,"20,851",https://www.amazon.com//Backpack-Business-Charging-Resistant-Computer/dp/B07F2YJRN2/ref=sr_1_omk_4?keywords=school+bag&qid=1657428121&sr=8-4,https://m.media-amazon.com/images/I/81idlqFqcUL._AC_UY218_.jpg
"adidas Back to School BTS Creator Backpack, Stone Wash Grey/Bliss Lilac Purple/Almost Blue, One Size",$32.00,4.7 out of 5 stars,628,https://www.amazon.com//adidas-Kids-Boys-Creator-Backpack-Purple/dp/B09G879MH2/ref=sr_1_5?keywords=school+bag&qid=1657428121&sr=8-5,https://m.media-amazon.com/images/I/911qF6xzUQL._AC_UY218_.jpg
"JanSport Cool Student Backpack - School, Travel, or Work Bookbag with 15-Inch Laptop Pack",$54.99,4.8 out of 5 stars,"8,227",https://www.amazon.com//JanSport-Classic-Mainstream-Student-Backpack/dp/B01A6BPAN4/ref=sr_1_6?keywords=school+bag&qid=1657428121&sr=8-6,https://m.media-amazon.com/images/I/91h5GCvpZJL._AC_UY218_.jpg
Amazon Basics School Laptop Backpack - Black,$28.32,4.5 out of 5 stars,"1,275",https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A002859929XEE730OVY8N&url=%2FAmazonBasics-NC1711103R3-Everyday-Backpack-Black%2Fdp%2FB07FNSZCKY%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dschool%2Bbag%26qid%3D1657428121%26sr%3D8-7-spons%26psc%3D1&qualifier=1657428121&id=3119944209656656&widgetName=sp_mtf,https://m.media-amazon.com/images/I/91KBxenwzNL._AC_UY218_.jpg
JanSport SuperBreak One Backpack - Lightweight School Bookbag,$36.00,4.7 out of 5 stars,"29,544",https://www.amazon.com//JanSport-Superbreak-Backpack-Jansport-Black/dp/B0007QCQGI/ref=sr_1_8?keywords=school+bag&qid=1657428121&sr=8-8,https://m.media-amazon.com/images/I/91HkBT96VML._AC_UY218_.jpg
"LOVEVOOK Laptop Backpack, Water Resistant Travel Backpacks for Women Men, College School Backpack Student Bookbag",$31.99,4.7 out of 5 stars,445,https://www.amazon.com//Classic-Backpack-Capacity-Backpacks-Resistant/dp/B094FWCJMQ/ref=sr_1_9?keywords=school+bag&qid=1657428121&sr=8-9,https://m.media-amazon.com/images/I/71ahU8ZibTL._AC_UY218_.jpg
Extra Large 52L Travel Laptop Backpack with USB Charging Port Fit 17 Inch Laptops for Men Women,$39.99,4.8 out of 5 stars,"17,681",https://www.amazon.com//Travel-Laptop-Backpack-Charging-Laptops/dp/B07V4R4Z77/ref=sr_1_10?keywords=school+bag&qid=1657428121&sr=8-10,https://m.media-amazon.com/images/I/61Ns-H-YLtL._AC_UY218_.jpg
